SECURITY_ID,UNDERLYING_SYMBOL
2350,NURECA
23507,UEL
23512,TARACHAND
23553,AIIL
23590,GLOSTERLTD
236,ASIANPAINT
23607,BALUFORGE
23621,JNKINDIA
23650,MUTHOOTFIN
23693,INDGN
23729,AADHARHFC
23740,TBOTEK
23799,GODIGIT
23804,BSLGOLDETF
23806,ABSLPSE
2385,NAVNETEDUL
23855,MIDSMALL
23864,AWFIS
2388,NELCO
23915,LIQUIDBETF
2397,SANDHAR
24014,BOROSCI
24025,KRONOX
2406,NEULANDLAB
24067,IXIGO
24077,MID150CASE
24081,TOP100CASE
24117,BBNPNBETF
24145,RETAIL
24154,DEEDEV
24184,PIIND
24190,SYMPHONY
24196,VADILALIND
2421,NILKAMAL
24217,IVZINNIFTY
24225,RELAXO
24226,STANLEY
24231,OMINFRAL
24265,ESTER
24292,VSTTILLERS
24308,ABDL
2431,RAILTEL
24321,VRAJ
2433,NIRLON
2435,CONSUMBEES
24366,SBISILVER
24374,LIQUIDSHRI
24378,RELIABLE
24385,KARMAENG
24386,BANSALWIRE
2439,NKIND
24391,DELPHIFX
24398,EMCURE
24403,ASHIANA
24404,ABGSEC
24409,DHANUKA
2442,NOCIL
24445,AGIIL
24461,EVINDIA
245,ADL
24524,SBINEQWETF
24532,FILATEX
24533,OILIETF
24538,MAITHANALL
2454,CENTRUM
24582,SANSTAR
24595,RUSHIL
24596,RELTD
24610,AVANTEL
2463,MIDHANI
24715,AKUMS
24730,RUBFILA
24735,RPEL
24742,CEIGALL
2475,ONGC
24777,OLAELEC
24781,BSLNIFTY
24798,GROWWEV
24809,UNIECOM
2481,ONWARDTEC
24814,FIRSTCRY
24823,MANCREDIT
24847,GSEC10ABSL
24851,SUYOG
24856,SSDL
24861,METALIETF
24870,INVENTURE
24909,INTERARCH
2492,SILGO
24924,ELGIRUBCO
2493,ORIENTHOT
24937,MFML
24944,MODEFENCE
24948,LTF
2496,ORIENTPPR
24961,ORIENTTECH
24966,SURAJLTD
24969,WINDMACHIN
24999,IBULLSLTD
25,ADANIENT
25017,BODALCHEM
25049,PREMIERENE
25060,ECOSMOBLTY
25073,RAYMONDLSL
25080,MULTICAP
25088,ASAHISONG
25114,STYLEBAAZA
2513,BCLIND
25134,GALAPREC
25157,RVTH
25162,EUREKAFORB
25171,TOP10ADD
25178,TDPOWERSYS
25203,BALAJEE
25222,SANOFICONR
25235,XTGLOBAL
25252,KROSS
25258,EBANKNIFTY
25262,TOLINS
25270,BAJAJHFL
25312,PNGJL
25328,APLLTD
25340,VASWANI
2535,PGHH
25358,PGEL
25392,PANAMAPET
25398,ARKADE
25403,WCIL
25426,NORTHARC
25447,GROWWLIQID
25468,PAISALO
25492,ONELIFECAP
25503,INDOUS
25512,FLEXITUFF
25574,SHAKTIPUMP
25584,TRITURBINE
25597,MANBA
25606,MOMENTUM50
25608,INDOTHAI
2562,HUHTAMAKI
25626,UYFINCORP
25634,ESSARSHPNG
25640,LICMFGOLD
25643,KRN
25672,DIFFNKG
25684,JISLDVREQS
25690,DSSL
25718,POLYMED
25724,RUPA
25725,BANKPSU
25737,SRD
25744,METAL
25758,GROWWDEFNC
25780,APLAPOLLO
25786,KANANIIND
25800,GARUDA
25807,LLOYDSENT
25835,VINCOFE
25844,HYUNDAI
25851,VAL30IETF
25872,GROWWGOLD
25892,DBEIL
25897,MINDACORP
25907,WAAREEENER
25918,OCCLLTD
25941,GODAVARIB
2595,3PLAND
25977,AFCONS
2598,AMJLAND
25984,AVL
25996,EMULTIMQ
2606,LEMONTREE
2614,HERANBA
2616,SEAMECLTD
2627,IT
263,ATUL
2636,DIVOPPBEES
2643,PFIZER
2645,DRCSYSTEMS
2649,PCBL
2664,PIDILITIND
2687,POLYPLEX
270,CHEMCON
27008,HEXATRADEX
